classifier;balancing;embedding;accuracy;precision;recall;f1;tp;tn;fp;fn;auroc_art;auroc_gaming;auroc_memberships;auroc_music;auroc_pfps;auroc_photography;auroc_virtual-worlds;cm_path
SVM;unbalanced;clean_lemmatization_all-MiniLM-L6-v2;0,6435935198821797;0,6753730574188505;0,644154377580079;0,6539991913257616;437;3832;242;242;0,8570120898100172;0,9138259699484189;0,8738822844222138;0,9599108928896162;0,8912089810017271;0,9597105623660824;0,898071377072819;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_unbalanced_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
SVM;undersampling;clean_lemmatization_all-MiniLM-L6-v2;0,6480117820324006;0,6748259399309404;0,6489200475021313;0,6576130710283435;440;3835;239;239;0,8563903281519862;0,9114151154967481;0,8764346157799172;0,9622385888343334;0,8903972366148531;0,960799466085918;0,8963049747656814;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_undersampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
SVM;oversampling;clean_lemmatization_all-MiniLM-L6-v2;0,6480117820324006;0,6789146068140194;0,6484542361373633;0,6582609629573153;440;3835;239;239;0,8570984455958548;0,9153958286611348;0,8681438213025455;0,959856337515912;0,8920034542314335;0,9592714882855035;0,8972602739726027;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_oversampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
SVM;smote;clean_lemmatization_all-MiniLM-L6-v2;0,6421207658321061;0,6726343727080332;0,6427258061515075;0,6522549370471944;436;3831;243;243;0,8573575129533678;0,9159378036929057;0,8684521566343486;0,9598563375159119;0,8915716753022452;0,959201236432611;0,8951694304253783;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/SVM_smote_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
DTree;unbalanced;clean_lemmatization_all-MiniLM-L6-v2;0,3136966126656848;0,31557031579428;0,31486885342512627;0,3149687367778076;213;3608;466;466;0,5811312607944733;0,5786891679748822;0,5909417931412518;0,7210674668121476;0,5567789291882556;0,6091099090238505;0,5955299206921413;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_unbalanced_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
DTree;undersampling;clean_lemmatization_all-MiniLM-L6-v2;0,32106038291605304;0,32167179833806386;0,32210484820959817;0,3215478669500983;218;3613;461;461;0,6043868739205527;0,5943223443223443;0,5762873000102778;0,6674849972722312;0,5659153713298791;0,6277969018932874;0,6161950252343187;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_undersampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
DTree;oversampling;clean_lemmatization_all-MiniLM-L6-v2;0,32106038291605304;0,3201201364824048;0,3221718496037106;0,32096861359063183;218;3613;461;461;0,5653886010362694;0,5956305599162742;0,6217153722292644;0,6907528641571195;0,5528238341968912;0,6218342758790263;0,6110580389329489;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_oversampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
DTree;smote;clean_lemmatization_all-MiniLM-L6-v2;0,33726067746686306;0,34557473588844384;0,338272167700817;0,34073115702275736;229;3624;450;450;0,5998963730569948;0,6223181580324437;0,6257408612833602;0,7034460811056555;0,5446891191709844;0,6032087533808705;0,6267213410237924;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/DTree_smote_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
RF;unbalanced;clean_lemmatization_all-MiniLM-L6-v2;0,5846833578792342;0,5856419474391401;0,5866299868667423;0,5837503785554329;397;3792;282;282;0,8001295336787564;0,8759157509157509;0,8613004899105827;0,9367430441898528;0,7650172711571676;0,9147845024412519;0,8680425378514779;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_unbalanced_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
RF;undersampling;clean_lemmatization_all-MiniLM-L6-v2;0,5994108983799705;0,6031469168006941;0,6019691840368226;0,6012766540106741;407;3802;272;272;0,7641882556131261;0,8922964790311728;0,8501747233546885;0,9274231678486997;0,806433506044905;0,9093751097685202;0,8697819033886085;C:/Users/samue/Downloads/NFT25/final_novo/only_emb/confusion_matrices/RF_undersampling_clean_lemmatization_all-MiniLM-L6-v2_confusion_matrix.png
